video_id,video_name,video_image_link,video_link,author_name,author_image_link,author_link
126,League of Legends Season 1 Ranked game Jarvan,https://i.ytimg.com/vi/0uskD9fvO78/hq720.jpg?sqp=-oaymwE2CNAFEJQDSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhYIDgofzAP&rs=AOn4CLDh3U0WN97nXpQcTuyJAoSWWte4vg,/watch?v=0uskD9fvO78,Steven L,https://yt3.ggpht.com/_C9KVkbL6mvVS-_CZ9Ind3B1jNLR_iGeGPb81fTqXS0xuQUPUgrEGICykV_HaB07AT4bCRzlFA=s68-c-k-c0x00ffffff-no-rj,/@StevenLesh
127,Vì Sao Không Có Game Góc Nhìn THỨ HAI?,https://i.ytimg.com/vi/ZrJpXd9juJE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDm0jyz49F4Ikq_eCOPx3NOp3mxEg,/watch?v=ZrJpXd9juJE,Game Cực Hay,https://yt3.ggpht.com/rJXoQ0wJH2ZF7K2iWjTTsTLAWhL2yZwJ0XHZfUfCQDPyCEJy06o77_Se_g9Y_T6Ju-TWXbid=s68-c-k-c0x00ffffff-no-rj,/@GameCucHay
128,100+ Docker Concepts you Need to Know,https://i.ytimg.com/vi/rIrNIzy6U_g/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDLbYuEaDH3EW0OtRk29BBVBczWoQ,/watch?v=rIrNIzy6U_g,Fireship,https://yt3.ggpht.com/ytc/AIdro_ltOWCZT10fChupyd1atupxII0RoP97CwYGr0Gphw=s68-c-k-c0x00ffffff-no-rj,/@Fireship
129,How to Play Twitch in Season 14 [Full Guide],https://i.ytimg.com/vi/BPl8s_br5Ec/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCCkGB30Sggfw3SE84swWivb4iXcQ,/watch?v=BPl8s_br5Ec,MissFortuneDaBes,https://yt3.ggpht.com/ytc/AIdro_mFYsb7C1o-X5qLHh0lYBNSLZjggIZwN21wNfN-Qw=s68-c-k-c0x00ffffff-no-rj,/@MissFortuneDaBes
130,Lạm phát là gì? - Hiểu về lạm phát trong 5 phút,https://i.ytimg.com/vi/kDdwY-iPmxY/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDvTpGDZRo5UM1smaEsTmGrCBXRNQ,/watch?v=kDdwY-iPmxY,KIẾN THỨC THÚ VỊ Official,https://yt3.ggpht.com/cfpW83i5yoWeevAFdmW7hiyzIccHQMTtjNMGm84vVv6SalXZA9PZUXRwbGdpXZapwnZ7-sNKNQ=s68-c-k-c0x00ffffff-no-rj,/@KienThucThuVi
131,Kayle Mid vs Katarina - NA Master Patch 14.5,https://i.ytimg.com/vi/VxXL85vUhR8/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB9yi5AoOC6d5_2Slt4pWzav5V_IA,/watch?v=VxXL85vUhR8,Challenger Replays,https://yt3.ggpht.com/ytc/AIdro_nUDzn2kxzuK8BTgI9uUQEAw6m9JcTNqA0yEL_W=s68-c-k-c0x00ffffff-no-rj,/@ChallengerReplays
132,SQL Injections are scary!! (hacking tutorial for beginners),https://i.ytimg.com/vi/2OPVViV-GQk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDoPf7xXEDVsogUr-b_nbZESWQ47A,/watch?v=2OPVViV-GQk,NetworkChuck,https://yt3.ggpht.com/ytc/AIdro_lUWCdtX-DVvLxWMK-gY-p24JNKmrCtKX_s404uMg=s68-c-k-c0x00ffffff-no-rj,/@NetworkChuck
133,How To Learn Hacking - a Full Guide  (2024),Unknown,/watch?v=z7LdMQT_Hes,CyberFlow,Unknown,/@CyberFlow10
134,Cuộc sống khốn khổ của những người chơi AD,Unknown,/watch?v=VtY1pdLRtDk,Rumple Not Rumble,Unknown,/@RumpleNotRumble
135,Tính xấu của nhiều người Việt,Unknown,/watch?v=l9uok02kerc,KIẾN THỨC THÚ VỊ Official,Unknown,/@KienThucThuVi
136,BeiFeng : Im Akali Professor in China - Engsub,Unknown,/watch?v=eW6kYMsCs0k,Libra CN LOL ,Unknown,/@libracnlol
137,PzZZang Yasuo Montage 2024 - Best Yasuo KR,Unknown,/watch?v=y7CMrfQT-MA,The Legends,Unknown,/@TheLegendsLOL
138,Jhin Unranked to Diamond #4 - Jhin ADC Gameplay Guide | Best Jhin Build & Runes Season 14,Unknown,/watch?v=ydqwDGsXfXw,Vapora Dark,Unknown,/@VaporaDark
139,God-Tier Developer Roadmap,Unknown,/watch?v=pEfrdAtAmqk,Fireship,Unknown,/@Fireship
140,Mỹ đã làm gì để biến USD thành đồng tiền quyền lực nhất hành tinh ?,Unknown,/watch?v=FCyfRYbcg6Q,KIẾN THỨC THÚ VỊ Official,Unknown,/@KienThucThuVi
141,SAMIRA MODO DIOS EN CHALLENGER .. ¡EL MEJOR JUGADOR DE SOLOQ EN NA!,Unknown,/watch?v=pVUHDknFQY8,Nick Daboom,Unknown,/@nickdaboom
142,진짜 꾸준히 키기 1일차 Hello,Unknown,/watch?v=06eur2SXR3U,프제짱 PzZZang,Unknown,/@pzzzang3
143,Luyện PE PRN211 FPT 8/2023,Unknown,/watch?v=f8xtq81VJ8c,FlexiLearn - EXPAND YOUR KNOWLEDGE. YOUR WAY,Unknown,/@fl.knowledge
144,Docker networking is CRAZY!! (you NEED to learn it),Unknown,/watch?v=bKFMS5C4CG0,NetworkChuck,Unknown,/@NetworkChuck
